index,zinnen,woorden
77,"onze minister beoordeelt of de in het programma, bedoeld in ","['onze', ' ', 'minister', ' ', 'beoordeelt', ' ', 'of', ' ', 'de', ' ', 'in', ' ', 'het', ' ', 'programma', ', ', 'bedoeld', ' ', 'in', ' ']"
78,onze minister wijzigt het programma als uit de beoordeling blijkt dat de maatregelen niet tijdig de beoogde gevolgen hebben.,"['onze', ' ', 'minister', ' ', 'wijzigt', ' ', 'het', ' ', 'programma', ' ', 'als', ' ', 'uit', ' ', 'de', ' ', 'beoordeling', ' ', 'blijkt', ' ', 'dat', ' ', 'de', ' ', 'maatregelen', ' ', 'niet', ' ', 'tijdig', ' ', 'de', ' ', 'beoogde', ' ', 'gevolgen', ' ', 'hebben', '.']"
79,het programma wordt zo gewijzigd dat de beoogde gevolgen binnen een passende termijn alsnog worden bereikt.,"['het', ' ', 'programma', ' ', 'wordt', ' ', 'zo', ' ', 'gewijzigd', ' ', 'dat', ' ', 'de', ' ', 'beoogde', ' ', 'gevolgen', ' ', 'binnen', ' ', 'een', ' ', 'passende', ' ', 'termijn', ' ', 'alsnog', ' ', 'worden', ' ', 'bereikt', '.']"
80,"onze minister wijst gebieden aan als speciale beschermingszones ter uitvoering van de artikelen 3, tweede lid, onderdeel a, en 4, eerste en tweede lid, van de vogelrichtlijn en de artikelen 3, tweede lid, en 4, vierde lid, van de habitatrichtlijn. de speciale beschermingszones worden aangeduid als «natura 2000-gebied».","['onze', ' ', 'minister', ' ', 'wijst', ' ', 'gebieden', ' ', 'aan', ' ', 'als', ' ', 'speciale', ' ', 'beschermingszones', ' ', 'ter', ' ', 'uitvoering', ' ', 'van', ' ', 'de', ' ', 'artikelen', ' ', '3', ', ', 'tweede', ' ', 'lid', ', ', 'onderdeel', '\xa0', 'a', ', ', 'en', ' ', '4', ', ', 'eerste', ' ', 'en', ' ', 'tweede', ' ', 'lid', ', ', 'van', ' ', 'de', ' ', 'vogelrichtlijn', ' ', 'en', ' ', 'de', ' ', 'artikelen', ' ', '3', ', ', 'tweede', ' ', 'lid', ', ', 'en', ' ', '4', ', ', 'vierde', ' ', 'lid', ', ', 'van', ' ', 'de', ' ', 'habitatrichtlijn', '. ', 'de', ' ', 'speciale', ' ', 'beschermingszones', ' ', 'worden', ' ', 'aangeduid', ' ', 'als', ' «', 'natura', ' ', '2000', '-', 'gebied', '».']"
81,"ingeval een gebied geheel of gedeeltelijk wordt beheerd door één van onze andere ministers, neemt onze minister een besluit als bedoeld in het eerste lid in overeenstemming met die andere minister.","['ingeval', ' ', 'een', ' ', 'gebied', ' ', 'geheel', ' ', 'of', ' ', 'gedeeltelijk', ' ', 'wordt', ' ', 'beheerd', ' ', 'door', ' éé', 'n', ' ', 'van', ' ', 'onze', ' ', 'andere', ' ', 'ministers', ', ', 'neemt', ' ', 'onze', ' ', 'minister', ' ', 'een', ' ', 'besluit', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', ' ', 'in', ' ', 'overeenstemming', ' ', 'met', ' ', 'die', ' ', 'andere', ' ', 'minister', '.']"
82,bij een besluit als bedoeld in het eerste lid wordt als bijlage een kaart opgenomen waarop de begrenzing van het desbetreffende gebied nauwkeurig is aangegeven.,"['bij', ' ', 'een', ' ', 'besluit', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', ' ', 'wordt', ' ', 'als', ' ', 'bijlage', ' ', 'een', ' ', 'kaart', ' ', 'opgenomen', ' ', 'waarop', ' ', 'de', ' ', 'begrenzing', ' ', 'van', ' ', 'het', ' ', 'desbetreffende', ' ', 'gebied', ' ', 'nauwkeurig', ' ', 'is', ' ', 'aangegeven', '.']"
83,een besluit als bedoeld in het eerste lid bevat instandhoudingsdoelstellingen voor het gebied. daartoe behoren in elk geval de instandhoudingsdoelstellingen ten aanzien van:,"['een', ' ', 'besluit', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', ' ', 'bevat', ' ', 'instandhoudingsdoelstellingen', ' ', 'voor', ' ', 'het', ' ', 'gebied', '. ', 'daartoe', ' ', 'behoren', ' ', 'in', ' ', 'elk', ' ', 'geval', ' ', 'de', ' ', 'instandhoudingsdoelstellingen', ' ', 'ten', ' ', 'aanzien', ' ', 'van', ':']"
84,op de voorbereiding van een besluit tot aanwijzing als bedoeld in het eerste lid is ,"['op', ' ', 'de', ' ', 'voorbereiding', ' ', 'van', ' ', 'een', ' ', 'besluit', ' ', 'tot', ' ', 'aanwijzing', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', ' ', 'is', ' ']"
85,"onze minister draagt, mede in het licht van de toepassing van ","['onze', ' ', 'minister', ' ', 'draagt', ', ', 'mede', ' ', 'in', ' ', 'het', ' ', 'licht', ' ', 'van', ' ', 'de', ' ', 'toepassing', ' ', 'van', ' ']"
86,onze minister kan een besluit als bedoeld in het eerste lid wijzigen of geheel of gedeeltelijk intrekken. op de voorbereiding van een besluit als bedoeld in de eerste volzin is ,"['onze', ' ', 'minister', ' ', 'kan', ' ', 'een', ' ', 'besluit', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', ' ', 'wijzigen', ' ', 'of', ' ', 'geheel', ' ', 'of', ' ', 'gedeeltelijk', ' ', 'intrekken', '. ', 'op', ' ', 'de', ' ', 'voorbereiding', ' ', 'van', ' ', 'een', ' ', 'besluit', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'de', ' ', 'eerste', ' ', 'volzin', ' ', 'is', ' ']"
87,"gedeputeerde staten dragen ervoor zorg dat in hun provincie instandhoudingsmaatregelen als bedoeld in de artikelen 3, eerste lid en tweede lid, onderdelen b, c en d, en 4, eerste lid, eerste volzin, en tweede lid, van de vogelrichtlijn en artikel 6, eerste lid, van de habitatrichtlijn worden getroffen die nodig zijn voor natura 2000-gebieden, gelet op de instandhoudingsdoelstellingen voor de onderscheiden gebieden.","['gedeputeerde', ' ', 'staten', ' ', 'dragen', ' ', 'ervoor', ' ', 'zorg', ' ', 'dat', ' ', 'in', ' ', 'hun', ' ', 'provincie', ' ', 'instandhoudingsmaatregelen', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'de', ' ', 'artikelen', ' ', '3', ', ', 'eerste', ' ', 'lid', ' ', 'en', ' ', 'tweede', ' ', 'lid', ', ', 'onderdelen', ' ', 'b', ', ', 'c', ' ', 'en', ' ', 'd', ', ', 'en', ' ', '4', ', ', 'eerste', ' ', 'lid', ', ', 'eerste', ' ', 'volzin', ', ', 'en', ' ', 'tweede', ' ', 'lid', ', ', 'van', ' ', 'de', ' ', 'vogelrichtlijn', ' ', 'en', ' ', 'artikel', '\xa0', '6', ', ', 'eerste', ' ', 'lid', ', ', 'van', ' ', 'de', ' ', 'habitatrichtlijn', ' ', 'worden', ' ', 'getroffen', ' ', 'die', ' ', 'nodig', ' ', 'zijn', ' ', 'voor', ' ', 'natura', ' ', '2000', '-', 'gebieden', ', ', 'gelet', ' ', 'op', ' ', 'de', ' ', 'instandhoudingsdoelstellingen', ' ', 'voor', ' ', 'de', ' ', 'onderscheiden', ' ', 'gebieden', '.']"
88,"gedeputeerde staten dragen ervoor zorg dat in hun provincie passende maatregelen als bedoeld in artikel 6, tweede lid, van de habitatrichtlijn worden getroffen die nodig zijn voor natura 2000-gebieden, gelet op de instandhoudingsdoelstellingen voor de onderscheiden gebieden.","['gedeputeerde', ' ', 'staten', ' ', 'dragen', ' ', 'ervoor', ' ', 'zorg', ' ', 'dat', ' ', 'in', ' ', 'hun', ' ', 'provincie', ' ', 'passende', ' ', 'maatregelen', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'artikel', '\xa0', '6', ', ', 'tweede', ' ', 'lid', ', ', 'van', ' ', 'de', ' ', 'habitatrichtlijn', ' ', 'worden', ' ', 'getroffen', ' ', 'die', ' ', 'nodig', ' ', 'zijn', ' ', 'voor', ' ', 'natura', ' ', '2000', '-', 'gebieden', ', ', 'gelet', ' ', 'op', ' ', 'de', ' ', 'instandhoudingsdoelstellingen', ' ', 'voor', ' ', 'de', ' ', 'onderscheiden', ' ', 'gebieden', '.']"
89,gedeputeerde staten van de provincie waarin een op grond van ,"['gedeputeerde', ' ', 'staten', ' ', 'van', ' ', 'de', ' ', 'provincie', ' ', 'waarin', ' ', 'een', ' ', 'op', ' ', 'grond', ' ', 'van', ' ']"
90,"tot de inhoud van het beheerplan behoort in elk geval een beschrijving van de voor het natura 2000-gebied, gelet op de instandhoudingsdoelstellingen:","['tot', ' ', 'de', ' ', 'inhoud', ' ', 'van', ' ', 'het', ' ', 'beheerplan', ' ', 'behoort', ' ', 'in', ' ', 'elk', ' ', 'geval', ' ', 'een', ' ', 'beschrijving', ' ', 'van', ' ', 'de', ' ', 'voor', ' ', 'het', ' ', 'natura', ' ', '2000', '-', 'gebied', ', ', 'gelet', ' ', 'op', ' ', 'de', ' ', 'instandhoudingsdoelstellingen', ':']"
91,"de daartoe bevoegde bestuursorganen dragen zorg voor een tijdige uitvoering van de door hen te treffen, in het beheerplan opgenomen maatregelen, voor zover zij met het opnemen van die maatregelen hebben ingestemd.","['de', ' ', 'daartoe', ' ', 'bevoegde', ' ', 'bestuursorganen', ' ', 'dragen', ' ', 'zorg', ' ', 'voor', ' ', 'een', ' ', 'tijdige', ' ', 'uitvoering', ' ', 'van', ' ', 'de', ' ', 'door', ' ', 'hen', ' ', 'te', ' ', 'treffen', ', ', 'in', ' ', 'het', ' ', 'beheerplan', ' ', 'opgenomen', ' ', 'maatregelen', ', ', 'voor', ' ', 'zover', ' ', 'zij', ' ', 'met', ' ', 'het', ' ', 'opnemen', ' ', 'van', ' ', 'die', ' ', 'maatregelen', ' ', 'hebben', ' ', 'ingestemd', '.']"
92,een beheerplan wordt telkens vastgesteld voor een tijdvak van ten hoogste zes jaar. na verloop van het tijdvak kan het tijdvak eenmaal met ten hoogste zes jaar worden verlengd. het eerste beheerplan wordt vastgesteld uiterlijk drie jaar na dagtekening van het besluit tot aanwijzing van een gebied als natura 2000-gebied.,"['een', ' ', 'beheerplan', ' ', 'wordt', ' ', 'telkens', ' ', 'vastgesteld', ' ', 'voor', ' ', 'een', ' ', 'tijdvak', ' ', 'van', ' ', 'ten', ' ', 'hoogste', ' ', 'zes', ' ', 'jaar', '. ', 'na', ' ', 'verloop', ' ', 'van', ' ', 'het', ' ', 'tijdvak', ' ', 'kan', ' ', 'het', ' ', 'tijdvak', ' ', 'eenmaal', ' ', 'met', ' ', 'ten', ' ', 'hoogste', ' ', 'zes', ' ', 'jaar', ' ', 'worden', ' ', 'verlengd', '. ', 'het', ' ', 'eerste', ' ', 'beheerplan', ' ', 'wordt', ' ', 'vastgesteld', ' ', 'uiterlijk', ' ', 'drie', ' ', 'jaar', ' ', 'na', ' ', 'dagtekening', ' ', 'van', ' ', 'het', ' ', 'besluit', ' ', 'tot', ' ', 'aanwijzing', ' ', 'van', ' ', 'een', ' ', 'gebied', ' ', 'als', ' ', 'natura', ' ', '2000', '-', 'gebied', '.']"
93,"in afwijking van het eerste lid kan de inhoud van het beheerplan, bedoeld in het tweede lid, een afzonderlijk onderdeel zijn van een ander plan of programma dat geheel of mede betrekking heeft op de inrichting, het beheer of het gebruik van een natura 2000-gebied. ingeval dat plan of programma wordt vastgesteld door een ander bevoegd gezag, geschiedt de opname van het onderdeel houdende het beheerplan voor het natura 2000-gebied niet dan na instemming van de gedeputeerde staten, bedoeld in het eerste lid. het derde lid en het vierde lid, derde volzin, zijn van overeenkomstige toepassing op dat onderdeel.","['in', ' ', 'afwijking', ' ', 'van', ' ', 'het', ' ', 'eerste', ' ', 'lid', ' ', 'kan', ' ', 'de', ' ', 'inhoud', ' ', 'van', ' ', 'het', ' ', 'beheerplan', ', ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'tweede', ' ', 'lid', ', ', 'een', ' ', 'afzonderlijk', ' ', 'onderdeel', ' ', 'zijn', ' ', 'van', ' ', 'een', ' ', 'ander', ' ', 'plan', ' ', 'of', ' ', 'programma', ' ', 'dat', ' ', 'geheel', ' ', 'of', ' ', 'mede', ' ', 'betrekking', ' ', 'heeft', ' ', 'op', ' ', 'de', ' ', 'inrichting', ', ', 'het', ' ', 'beheer', ' ', 'of', ' ', 'het', ' ', 'gebruik', ' ', 'van', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', '. ', 'ingeval', ' ', 'dat', ' ', 'plan', ' ', 'of', ' ', 'programma', ' ', 'wordt', ' ', 'vastgesteld', ' ', 'door', ' ', 'een', ' ', 'ander', ' ', 'bevoegd', ' ', 'gezag', ', ', 'geschiedt', ' ', 'de', ' ', 'opname', ' ', 'van', ' ', 'het', ' ', 'onderdeel', ' ', 'houdende', ' ', 'het', ' ', 'beheerplan', ' ', 'voor', ' ', 'het', ' ', 'natura', ' ', '2000', '-', 'gebied', ' ', 'niet', ' ', 'dan', ' ', 'na', ' ', 'instemming', ' ', 'van', ' ', 'de', ' ', 'gedeputeerde', ' ', 'staten', ', ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', '. ', 'het', ' ', 'derde', ' ', 'lid', ' ', 'en', ' ', 'het', ' ', 'vierde', ' ', 'lid', ', ', 'derde', ' ', 'volzin', ', ', 'zijn', ' ', 'van', ' ', 'overeenkomstige', ' ', 'toepassing', ' ', 'op', ' ', 'dat', ' ', 'onderdeel', '.']"
94,"gedeputeerde staten kunnen een beheerplan wijzigen gedurende het tijdvak waarvoor het is vastgesteld. bij de voorbereiding van een besluit tot wijziging van ondergeschikte aard of tot verlenging van het tijdvak als bedoeld in het vierde lid, behoeven zij geen toepassing te geven aan ","['gedeputeerde', ' ', 'staten', ' ', 'kunnen', ' ', 'een', ' ', 'beheerplan', ' ', 'wijzigen', ' ', 'gedurende', ' ', 'het', ' ', 'tijdvak', ' ', 'waarvoor', ' ', 'het', ' ', 'is', ' ', 'vastgesteld', '. ', 'bij', ' ', 'de', ' ', 'voorbereiding', ' ', 'van', ' ', 'een', ' ', 'besluit', ' ', 'tot', ' ', 'wijziging', ' ', 'van', ' ', 'ondergeschikte', ' ', 'aard', ' ', 'of', ' ', 'tot', ' ', 'verlenging', ' ', 'van', ' ', 'het', ' ', 'tijdvak', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'vierde', ' ', 'lid', ', ', 'behoeven', ' ', 'zij', ' ', 'geen', ' ', 'toepassing', ' ', 'te', ' ', 'geven', ' ', 'aan', ' ']"
95,"gedeputeerde staten leggen, indien dat nodig is voor een natura 2000-gebied, gelet op de instandhoudingsdoelstellingen, aan degene die in hun provincie een handeling verricht of het voornemen daartoe heeft, een verplichting op om:","['gedeputeerde', ' ', 'staten', ' ', 'leggen', ', ', 'indien', ' ', 'dat', ' ', 'nodig', ' ', 'is', ' ', 'voor', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', ', ', 'gelet', ' ', 'op', ' ', 'de', ' ', 'instandhoudingsdoelstellingen', ', ', 'aan', ' ', 'degene', ' ', 'die', ' ', 'in', ' ', 'hun', ' ', 'provincie', ' ', 'een', ' ', 'handeling', ' ', 'verricht', ' ', 'of', ' ', 'het', ' ', 'voornemen', ' ', 'daartoe', ' ', 'heeft', ', ', 'een', ' ', 'verplichting', ' ', 'op', ' ', 'om', ':']"
96,"ingeval in het belang van de bescherming van een natura 2000-gebied een onverwijlde tenuitvoerlegging van een besluit als bedoeld in het eerste lid noodzakelijk is, kunnen gedeputeerde staten het besluit bekendmaken door mondelinge mededeling aan degene die de handeling verricht of het voornemen daartoe heeft. gedeputeerde staten stellen het besluit zo spoedig mogelijk alsnog op schrift en zenden dit toe of reiken dit uit aan de belanghebbenden.","['ingeval', ' ', 'in', ' ', 'het', ' ', 'belang', ' ', 'van', ' ', 'de', ' ', 'bescherming', ' ', 'van', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', ' ', 'een', ' ', 'onverwijlde', ' ', 'tenuitvoerlegging', ' ', 'van', ' ', 'een', ' ', 'besluit', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', ' ', 'noodzakelijk', ' ', 'is', ', ', 'kunnen', ' ', 'gedeputeerde', ' ', 'staten', ' ', 'het', ' ', 'besluit', ' ', 'bekendmaken', ' ', 'door', ' ', 'mondelinge', ' ', 'mededeling', ' ', 'aan', ' ', 'degene', ' ', 'die', ' ', 'de', ' ', 'handeling', ' ', 'verricht', ' ', 'of', ' ', 'het', ' ', 'voornemen', ' ', 'daartoe', ' ', 'heeft', '. ', 'gedeputeerde', ' ', 'staten', ' ', 'stellen', ' ', 'het', ' ', 'besluit', ' ', 'zo', ' ', 'spoedig', ' ', 'mogelijk', ' ', 'alsnog', ' ', 'op', ' ', 'schrift', ' ', 'en', ' ', 'zenden', ' ', 'dit', ' ', 'toe', ' ', 'of', ' ', 'reiken', ' ', 'dit', ' ', 'uit', ' ', 'aan', ' ', 'de', ' ', 'belanghebbenden', '.']"
97,"provinciale staten stellen, indien dat nodig is voor een natura 2000-gebied, gelet op de instandhoudingsdoelstellingen, ten aanzien van categorieën van handelingen bij verordening regels, houdende verplichtingen als bedoeld in het eerste lid. ten aanzien van deze handelingen geven gedeputeerde staten geen toepassing aan het eerste lid.","['provinciale', ' ', 'staten', ' ', 'stellen', ', ', 'indien', ' ', 'dat', ' ', 'nodig', ' ', 'is', ' ', 'voor', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', ', ', 'gelet', ' ', 'op', ' ', 'de', ' ', 'instandhoudingsdoelstellingen', ', ', 'ten', ' ', 'aanzien', ' ', 'van', ' ', 'categorieën', ' ', 'van', ' ', 'handelingen', ' ', 'bij', ' ', 'verordening', ' ', 'regels', ', ', 'houdende', ' ', 'verplichtingen', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', '. ', 'ten', ' ', 'aanzien', ' ', 'van', ' ', 'deze', ' ', 'handelingen', ' ', 'geven', ' ', 'gedeputeerde', ' ', 'staten', ' ', 'geen', ' ', 'toepassing', ' ', 'aan', ' ', 'het', ' ', 'eerste', ' ', 'lid', '.']"
98,het is verboden te handelen in strijd met een verplichting als bedoeld in het eerste of derde lid.,"['het', ' ', 'is', ' ', 'verboden', ' ', 'te', ' ', 'handelen', ' ', 'in', ' ', 'strijd', ' ', 'met', ' ', 'een', ' ', 'verplichting', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'of', ' ', 'derde', ' ', 'lid', '.']"
99,"gedeputeerde staten verbieden of beperken de toegang tot een in hun provincie gelegen natura 2000-gebied of een in hun provincie gelegen gedeelte van een natura 2000-gebied, indien dat nodig is gelet op de instandhoudingsdoelstellingen voor dat gebied.","['gedeputeerde', ' ', 'staten', ' ', 'verbieden', ' ', 'of', ' ', 'beperken', ' ', 'de', ' ', 'toegang', ' ', 'tot', ' ', 'een', ' ', 'in', ' ', 'hun', ' ', 'provincie', ' ', 'gelegen', ' ', 'natura', ' ', '2000', '-', 'gebied', ' ', 'of', ' ', 'een', ' ', 'in', ' ', 'hun', ' ', 'provincie', ' ', 'gelegen', ' ', 'gedeelte', ' ', 'van', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', ', ', 'indien', ' ', 'dat', ' ', 'nodig', ' ', 'is', ' ', 'gelet', ' ', 'op', ' ', 'de', ' ', 'instandhoudingsdoelstellingen', ' ', 'voor', ' ', 'dat', ' ', 'gebied', '.']"
100,"een verbod of beperking als bedoeld in het eerste lid geldt niet voor de eigenaar van een in het gebied gelegen onroerende zaak en voor degene die een zakelijk of persoonlijk gebruiksrecht heeft met betrekking tot die zaak, voor zover door het verbod of de beperking de toegang tot de onroerende zaak ernstig zou worden belemmerd.","['een', ' ', 'verbod', ' ', 'of', ' ', 'beperking', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', ' ', 'geldt', ' ', 'niet', ' ', 'voor', ' ', 'de', ' ', 'eigenaar', ' ', 'van', ' ', 'een', ' ', 'in', ' ', 'het', ' ', 'gebied', ' ', 'gelegen', ' ', 'onroerende', ' ', 'zaak', ' ', 'en', ' ', 'voor', ' ', 'degene', ' ', 'die', ' ', 'een', ' ', 'zakelijk', ' ', 'of', ' ', 'persoonlijk', ' ', 'gebruiksrecht', ' ', 'heeft', ' ', 'met', ' ', 'betrekking', ' ', 'tot', ' ', 'die', ' ', 'zaak', ', ', 'voor', ' ', 'zover', ' ', 'door', ' ', 'het', ' ', 'verbod', ' ', 'of', ' ', 'de', ' ', 'beperking', ' ', 'de', ' ', 'toegang', ' ', 'tot', ' ', 'de', ' ', 'onroerende', ' ', 'zaak', ' ', 'ernstig', ' ', 'zou', ' ', 'worden', ' ', 'belemmerd', '.']"
101,het is verboden in strijd te handelen met een verbod of beperking als bedoeld in het eerste lid.,"['het', ' ', 'is', ' ', 'verboden', ' ', 'in', ' ', 'strijd', ' ', 'te', ' ', 'handelen', ' ', 'met', ' ', 'een', ' ', 'verbod', ' ', 'of', ' ', 'beperking', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'lid', '.']"
102,"gedeputeerde staten verrichten in hun provincie feitelijke handelingen of laten deze verrichten, indien dat nodig is gelet op de instandhoudingsdoelstellingen voor een natura 2000-gebied.","['gedeputeerde', ' ', 'staten', ' ', 'verrichten', ' ', 'in', ' ', 'hun', ' ', 'provincie', ' ', 'feitelijke', ' ', 'handelingen', ' ', 'of', ' ', 'laten', ' ', 'deze', ' ', 'verrichten', ', ', 'indien', ' ', 'dat', ' ', 'nodig', ' ', 'is', ' ', 'gelet', ' ', 'op', ' ', 'de', ' ', 'instandhoudingsdoelstellingen', ' ', 'voor', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', '.']"
103,gedeputeerde staten kunnen in hun provincie in en rondom een natura 2000-gebied de nodige kentekenen laten aanbrengen die de aanwijzing van dat gebied en de rechtsgevolgen daarvan kenbaar maken.,"['gedeputeerde', ' ', 'staten', ' ', 'kunnen', ' ', 'in', ' ', 'hun', ' ', 'provincie', ' ', 'in', ' ', 'en', ' ', 'rondom', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', ' ', 'de', ' ', 'nodige', ' ', 'kentekenen', ' ', 'laten', ' ', 'aanbrengen', ' ', 'die', ' ', 'de', ' ', 'aanwijzing', ' ', 'van', ' ', 'dat', ' ', 'gebied', ' ', 'en', ' ', 'de', ' ', 'rechtsgevolgen', ' ', 'daarvan', ' ', 'kenbaar', ' ', 'maken', '.']"
104,de eigenaar van de desbetreffende onroerende zaak en degene die een zakelijk of persoonlijk gebruiksrecht heeft met betrekking tot die zaak gedogen het verrichten van handelingen als bedoeld in het eerste en tweede lid.,"['de', ' ', 'eigenaar', ' ', 'van', ' ', 'de', ' ', 'desbetreffende', ' ', 'onroerende', ' ', 'zaak', ' ', 'en', ' ', 'degene', ' ', 'die', ' ', 'een', ' ', 'zakelijk', ' ', 'of', ' ', 'persoonlijk', ' ', 'gebruiksrecht', ' ', 'heeft', ' ', 'met', ' ', 'betrekking', ' ', 'tot', ' ', 'die', ' ', 'zaak', ' ', 'gedogen', ' ', 'het', ' ', 'verrichten', ' ', 'van', ' ', 'handelingen', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'en', ' ', 'tweede', ' ', 'lid', '.']"
105,"gedeputeerde staten gaan niet over tot het verrichten van handelingen als bedoeld in het eerste of tweede lid, dan nadat zij de rechthebbenden, bedoeld in het derde lid, het voornemen daartoe schriftelijk hebben medegedeeld en na de mededeling ten minste vier weken zijn verstreken. ingeval een onverwijlde verrichting van de handeling noodzakelijk is, kan de mededeling mondeling geschieden en geldt de termijn van vier weken niet.","['gedeputeerde', ' ', 'staten', ' ', 'gaan', ' ', 'niet', ' ', 'over', ' ', 'tot', ' ', 'het', ' ', 'verrichten', ' ', 'van', ' ', 'handelingen', ' ', 'als', ' ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'eerste', ' ', 'of', ' ', 'tweede', ' ', 'lid', ', ', 'dan', ' ', 'nadat', ' ', 'zij', ' ', 'de', ' ', 'rechthebbenden', ', ', 'bedoeld', ' ', 'in', ' ', 'het', ' ', 'derde', ' ', 'lid', ', ', 'het', ' ', 'voornemen', ' ', 'daartoe', ' ', 'schriftelijk', ' ', 'hebben', ' ', 'medegedeeld', ' ', 'en', ' ', 'na', ' ', 'de', ' ', 'mededeling', ' ', 'ten', ' ', 'minste', ' ', 'vier', ' ', 'weken', ' ', 'zijn', ' ', 'verstreken', '. ', 'ingeval', ' ', 'een', ' ', 'onverwijlde', ' ', 'verrichting', ' ', 'van', ' ', 'de', ' ', 'handeling', ' ', 'noodzakelijk', ' ', 'is', ', ', 'kan', ' ', 'de', ' ', 'mededeling', ' ', 'mondeling', ' ', 'geschieden', ' ', 'en', ' ', 'geldt', ' ', 'de', ' ', 'termijn', ' ', 'van', ' ', 'vier', ' ', 'weken', ' ', 'niet', '.']"
106,"een bestuursorgaan stelt een plan dat niet direct verband houdt met of nodig is voor het beheer van een natura 2000-gebied, en dat afzonderlijk of in combinatie met andere plannen of projecten significante gevolgen kan hebben voor een natura 2000-gebied, uitsluitend vast indien is voldaan aan ","['een', ' ', 'bestuursorgaan', ' ', 'stelt', ' ', 'een', ' ', 'plan', ' ', 'dat', ' ', 'niet', ' ', 'direct', ' ', 'verband', ' ', 'houdt', ' ', 'met', ' ', 'of', ' ', 'nodig', ' ', 'is', ' ', 'voor', ' ', 'het', ' ', 'beheer', ' ', 'van', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', ', ', 'en', ' ', 'dat', ' ', 'afzonderlijk', ' ', 'of', ' ', 'in', ' ', 'combinatie', ' ', 'met', ' ', 'andere', ' ', 'plannen', ' ', 'of', ' ', 'projecten', ' ', 'significante', ' ', 'gevolgen', ' ', 'kan', ' ', 'hebben', ' ', 'voor', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', ', ', 'uitsluitend', ' ', 'vast', ' ', 'indien', ' ', 'is', ' ', 'voldaan', ' ', 'aan', ' ']"
107,"het is verboden zonder vergunning van gedeputeerde staten een project te realiseren dat niet direct verband houdt met of nodig is voor het beheer van een natura 2000-gebied, maar afzonderlijk of in combinatie met andere plannen of projecten significante gevolgen kan hebben voor een natura 2000-gebied.","['het', ' ', 'is', ' ', 'verboden', ' ', 'zonder', ' ', 'vergunning', ' ', 'van', ' ', 'gedeputeerde', ' ', 'staten', ' ', 'een', ' ', 'project', ' ', 'te', ' ', 'realiseren', ' ', 'dat', ' ', 'niet', ' ', 'direct', ' ', 'verband', ' ', 'houdt', ' ', 'met', ' ', 'of', ' ', 'nodig', ' ', 'is', ' ', 'voor', ' ', 'het', ' ', 'beheer', ' ', 'van', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', ', ', 'maar', ' ', 'afzonderlijk', ' ', 'of', ' ', 'in', ' ', 'combinatie', ' ', 'met', ' ', 'andere', ' ', 'plannen', ' ', 'of', ' ', 'projecten', ' ', 'significante', ' ', 'gevolgen', ' ', 'kan', ' ', 'hebben', ' ', 'voor', ' ', 'een', ' ', 'natura', ' ', '2000', '-', 'gebied', '.']"
